,DesignName,ParticipantID,TrialID,Block1,Block2,DT,OC,visualSearchTime,ErrorCount
282,Touchstone2,6,39,1,1,Contrast,low,1886,0
283,Touchstone2,6,40,2,3,ContrastLighting,medium,2584,0
284,Touchstone2,6,41,2,3,ContrastLighting,medium,1870,0
285,Touchstone2,6,42,1,2,Contrast,high,2744,0
286,Touchstone2,6,43,3,3,lighting,medium,2239,0
287,Touchstone2,6,44,2,1,ContrastLighting,low,2123,0
288,Touchstone2,6,45,3,2,lighting,high,1811,0
289,Touchstone2,6,46,1,3,Contrast,medium,1237,0
290,Touchstone2,6,47,2,2,ContrastLighting,high,3296,0
291,Touchstone2,6,48,2,1,ContrastLighting,low,3269,0
292,Touchstone2,6,49,1,1,Contrast,low,1325,0
293,Touchstone2,6,50,3,1,lighting,low,1384,0
294,Touchstone2,6,51,2,1,ContrastLighting,low,2843,0
295,Touchstone2,6,52,3,3,lighting,medium,1721,0
296,Touchstone2,6,53,3,3,lighting,medium,2181,0
